"category","source","dialect_or_format","job_support_level","current_status","works_today","missing_for_productive_support","recommended_priority"
"sql_database","PostgreSQL","postgresql","1_supported_by_cloud_job","Official generic path for the current job via source_type=database, a per-execution connection_uri, and the Table_Extract SQLAlchemy PostgreSQL adapter.","Profiling, table and view filtering, samples, PII discovery, local or GCS artifact.","End-to-end Cloud Run Job validation against a reachable TCP endpoint; operational limits and credentials policy.","P0"
"sql_database","Cloud SQL PostgreSQL","postgresql","1_supported_by_cloud_job","Same PostgreSQL adapter. Preferred generic mode is TCP endpoint in SCAN_REQUEST_JSON; native /cloudsql socket is an explicit opt-in deployment mode.","Profiling and PII discovery should work once Cloud Run can reach the instance.","For generic mode: endpoint/firewall/TLS. For native socket mode only: Cloud SQL Client IAM role, Cloud SQL Admin API, ATTACH_CLOUD_SQL=true, --set-cloudsql-instances, socket URI.","P0"
"sql_database","Oracle Database","oracle","1_supported_by_cloud_job","Supported through the current source_type=database path and the Oracle-specific adapter.","Profiling, owner/schema filters, table/view filters, samples, PII discovery.","Cloud execution validation, Oracle network access, wallet/TNS handling if needed.","P1"
"sql_database","Oracle RAC or SCAN","oracle","1_to_2_likely_supported","Should work through Oracle connection URI if the driver and network path resolve the RAC/SCAN endpoint.","Same as Oracle Database after connectivity works.","Cloud network routing, DNS, optional wallet/TNS config, real integration test.","P1"
"sql_database","Oracle Autonomous Database","oracle","2_likely_with_extra_config","Likely compatible with Oracle adapter but often needs wallet or extra driver configuration.","Potential profiling and discovery if connection URI works.","Wallet handling, container secrets/files, connection examples, e2e test.","P2"
"sql_database","AlloyDB","postgresql","2_likely_supported","PostgreSQL-compatible and should reuse the PostgreSQL adapter.","Likely profiling, samples, PII discovery.","Connectivity test, SSL/private IP config, dialect edge-case validation.","P1"
"sql_database","AWS RDS PostgreSQL","postgresql","2_likely_supported","PostgreSQL-compatible external database.","Likely profiling, samples, PII discovery.","Network egress/VPC path, SSL config, credentials handling, e2e test.","P2"
"sql_database","AWS Aurora PostgreSQL","postgresql","2_likely_supported","PostgreSQL-compatible external database.","Likely profiling, samples, PII discovery.","Network egress/VPC path, SSL config, credentials handling, e2e test.","P2"
"sql_database","Azure Database for PostgreSQL","postgresql","2_likely_supported","PostgreSQL-compatible external database.","Likely profiling, samples, PII discovery.","Network egress, SSL config, credentials handling, e2e test.","P2"
"sql_database","Supabase Postgres","postgresql","2_likely_supported","Hosted PostgreSQL.","Likely profiling, samples, PII discovery.","SSL/pooler URI validation, permissions, e2e test.","P2"
"sql_database","Neon Postgres","postgresql","2_likely_supported","Hosted PostgreSQL.","Likely profiling, samples, PII discovery.","SSL URI validation, cold-start/network behavior, e2e test.","P2"
"sql_database","TimescaleDB","postgresql","2_likely_supported","PostgreSQL extension/distribution; normal tables should work.","Likely profiling, samples, PII discovery for regular hypertables/tables.","Hypertable metadata validation, row estimate behavior, e2e test.","P2"
"sql_database","Citus","postgresql","2_likely_supported","PostgreSQL-compatible distributed extension.","Likely profiling, samples, PII discovery.","Distributed table metadata validation, permissions, e2e test.","P3"
"sql_database","Greenplum","postgresql_like","2_to_3_needs_validation","PostgreSQL-like but not guaranteed identical.","May work through PostgreSQL/SQLAlchemy path.","Validate inspector, quoting, LIMIT, row estimates, driver compatibility.","P3"
"sql_database","YugabyteDB","postgresql_like","3_unvalidated","PostgreSQL wire compatible but not tested.","May work for simple schemas through SQLAlchemy.","Driver/dialect validation, metadata and sample query tests.","P3"
"sql_database","CockroachDB","postgresql_like","3_unvalidated","PostgreSQL-like but different metadata semantics.","May work for simple tables if SQLAlchemy dialect is available.","Install/validate dialect, metadata introspection, sample query tests.","P3"
"embedded_sql","SQLite","sqlite","3_to_4_partial","Table_Extract CLI tests use sqlite-like paths, but the Cloud BBDD Job is not designed around mounted database files.","May work locally if the sqlite file is available inside the container.","Artifact/file mounting policy, Cloud Run storage approach, job contract extension.","P4"
"sql_database","MySQL","mysql","4_generic_sqlalchemy_gap","Not supported by current container because no MySQL driver is installed; generic SQLAlchemy path may still need SQL changes.","None in the current Cloud image.","Install driver, add dialect-specific tests, possibly custom adapter for sampling and row counts.","P1"
"sql_database","Cloud SQL MySQL","mysql","4_generic_sqlalchemy_gap","Cloud SQL wiring exists conceptually, but MySQL driver/adapter support is not done.","None in the current Cloud image.","Install MySQL driver, add MySQL adapter tests, Cloud SQL MySQL smoke test.","P2"
"sql_database","MariaDB","mariadb","4_generic_sqlalchemy_gap","No driver or dedicated adapter in current job.","None in the current Cloud image.","Install driver, validate SQLAlchemy dialect, add sample/query tests.","P2"
"sql_database","AWS Aurora MySQL","mysql","4_generic_sqlalchemy_gap","Same gap as MySQL.","None in the current Cloud image.","Network path, driver, dialect validation, e2e test.","P3"
